#APC
chr5	112737885	112846239
#ATM
chr11	108223067	108369102
#AXIN2
chr17	65528563	65561648
#BAP1
chr3	52401008	52410008
#BARD1
chr2	214725646	214809683
#BLM
chr15	90717346	90816166
#BMPR1A
chr10	86756619	86927969
#BRCA1
chr17	43044295	43125364
#BRCA2
chr13	32315508	32400268
#BRIP1
chr17	61679139	61863528
#CDH1
chr16	68737292	68835537
#CDK4
chr12	57747727	57752310
#CDKN2A
chr9	21967752	21994392
#CHEK2
chr22	28687743	28741820
#EPCAM
chr2	47369311	47387020
#FAM175A
chr4	83459517	83485100
#GREM1
chr15	32718004	32745106
#MEN1
chr11	64803516	64811294
#MITF
chr3	69739464	69968332
#MLH1
chr3	36993518	37050846
#MRE11
chr11	94415570	94493844
#MSH2
chr2	47403119	47567156
#MSH3
chr5	80654652	80876815
#MSH6
chr2	47695819	47810063
#MUTYH
chr1	45329242	45339970
#NBN
chr8	89930980	89984671
#NF1
chr17	31094977	31377675
#NTHL1
chr16	2039820	2047834
#PALB2
chr16	23603165	23641310
#PMS2
chr7	5970925	6009049
#POLD1
chr19	50384347	50418014
#POLE
chr12	132623762	132687342
#PTEN
chr10	87863625	87971930
#RAD50
chr5	132556977	132646349
#RAD51C
chr17	58692602	58735611
#RAD51D
chr17	35092221	35119860
#RNF139
chr8	124474880	124488618
#SMAD4
chr18	51030213	51085042
#STK11
chr19	1205778	1228431
#TP53
chr17	7668421	7687490
#XRCC2
chr7	152644776	152676141
